Ranking,School Name,State,School Sector,Location,Total Enrolment,Percentage
420,Upper Plenty Primary School,VIC,Government,Inner Regional,189,82.27%
421,Our Lady of Good Counsel School,VIC,Catholic,Major Cities,254,82.27%
422,Glenroy Central Primary School,VIC,Government,Major Cities,239,82.27%
423,Stella Maris School,VIC,Catholic,Major Cities,320,82.25%
424,St Peter's School,VIC,Catholic,Major Cities,555,82.23%
425,Seaholme Primary School,VIC,Government,Major Cities,302,82.18%
426,St Albans Meadows Primary School,VIC,Government,Major Cities,448,82.18%
427,Victory Lutheran College,VIC,Independent,Inner Regional,716,82.18%
428,Lakeside College,VIC,Independent,Major Cities,342,82.17%
429,St Mary's School,VIC,Catholic,Major Cities,297,82.15%
430,Chewton Primary School,VIC,Government,Inner Regional,77,82.13%
431,St Thomas More School,VIC,Catholic,Inner Regional,409,82.11%
432,Aitken College,VIC,Independent,Major Cities,1269,82.11%
433,Old Orchard Primary School,VIC,Government,Major Cities,538,82.10%
434,Dorset Primary School,VIC,Government,Major Cities,487,82.10%
435,Avenel Primary School,VIC,Government,Inner Regional,127,82.06%
436,Cobden Primary School,VIC,Government,Inner Regional,178,82.06%
437,Holy Rosary School,VIC,Catholic,Major Cities,306,82.05%
438,Darul Ulum College of Victoria,VIC,Independent,Major Cities,1059,82.01%
439,Woodford Primary School,VIC,Government,Inner Regional,202,81.99%
440,Watsonia North Primary School,VIC,Government,Major Cities,545,81.99%
441,Lyndale Greens Primary School,VIC,Government,Major Cities,618,81.99%
442,St Bede's School,VIC,Catholic,Major Cities,292,81.99%
443,Sirius College,VIC,Independent,Major Cities,2472,81.99%
444,Boronia Heights Primary School,VIC,Government,Major Cities,497,81.98%
445,Niddrie Primary School,VIC,Government,Major Cities,282,81.98%
446,Mary Immaculate School,VIC,Catholic,Major Cities,121,81.98%
447,Kallista Primary School,VIC,Government,Major Cities,163,81.96%
448,Brunswick South Primary School,VIC,Government,Major Cities,318,81.91%
449,St Paul Apostle South School,VIC,Catholic,Major Cities,222,81.91%
450,Scoresby Primary School,VIC,Government,Major Cities,219,81.89%
451,Kingsville Primary School,VIC,Government,Major Cities,642,81.87%
452,Richmond West Primary School,VIC,Government,Major Cities,274,81.87%
453,Mount Eliza Primary School,VIC,Government,Major Cities,644,81.86%
454,Huntingdale Primary School,VIC,Government,Major Cities,380,81.86%
455,Christian College Bellarine,VIC,Independent,Inner Regional,441,81.84%
456,Brunswick North West Primary School,VIC,Government,Major Cities,364,81.82%
457,St Patrick's School,VIC,Catholic,Inner Regional,124,81.81%
458,Upwey Primary School,VIC,Government,Major Cities,89,81.77%
459,St John Vianney's School,VIC,Catholic,Major Cities,148,81.77%
460,Wallarano Primary School,VIC,Government,Major Cities,686,81.75%
461,Village School,VIC,Independent,Major Cities,72,81.75%
462,Knox Park Primary School,VIC,Government,Major Cities,288,81.74%
463,Holy Name School,VIC,Catholic,Major Cities,286,81.74%
464,Emmaus Catholic Primary School,VIC,Catholic,Major Cities,422,81.74%
465,Weeden Heights Primary School,VIC,Government,Major Cities,173,81.72%
466,Courtenay Gardens Primary School,VIC,Government,Major Cities,836,81.72%
467,St Mary's School,VIC,Catholic,Major Cities,557,81.72%
468,Highton Primary School,VIC,Government,Major Cities,336,81.70%
469,Plenty Valley Christian College,VIC,Independent,Major Cities,739,81.70%
470,Shepparton Christian College Ltd,VIC,Independent,Inner Regional,200,81.70%
471,Maiden Gully Primary School,VIC,Government,Inner Regional,550,81.69%
472,St Bernadette's Catholic Primary School,VIC,Catholic,Major Cities,234,81.69%
473,Eltham Primary School,VIC,Government,Major Cities,420,81.67%
474,Woori Yallock Primary School,VIC,Government,Inner Regional,264,81.67%
475,Yarra Primary School,VIC,Government,Major Cities,260,81.67%
476,Ruskin Park Primary School,VIC,Government,Major Cities,351,81.65%
477,St Joseph's School,VIC,Catholic,Inner Regional,114,81.65%
478,Sacred Heart School,VIC,Catholic,Major Cities,305,81.65%
479,St Bernard's School,VIC,Catholic,Major Cities,225,81.65%
480,Parkmore Primary School,VIC,Government,Major Cities,137,81.62%
481,Rolling Hills Primary School,VIC,Government,Major Cities,364,81.62%
482,St Kevin's School,VIC,Catholic,Major Cities,113,81.62%
483,St Margaret Mary's School,VIC,Catholic,Major Cities,135,81.60%
484,St Monica's Primary School,VIC,Catholic,Major Cities,536,81.57%
485,St Anthony's School,VIC,Catholic,Major Cities,162,81.57%
486,Tylden Primary School,VIC,Government,Inner Regional,115,81.55%
487,Irymple South Primary School,VIC,Government,Outer Regional,352,81.55%
488,Oatlands Primary School,VIC,Government,Major Cities,1089,81.55%
489,St John's School,VIC,Catholic,Major Cities,182,81.55%
490,Eltham College,VIC,Independent,Major Cities,597,81.55%
491,Axedale Primary School,VIC,Government,Inner Regional,110,81.53%
492,Research Primary School,VIC,Government,Major Cities,182,81.53%
493,Katunga Primary School,VIC,Government,Inner Regional,89,81.50%
494,Cambridge Primary School,VIC,Government,Major Cities,1031,81.50%
495,Keysborough Primary School,VIC,Government,Major Cities,457,81.50%
496,Holy Spirit School,VIC,Catholic,Major Cities,251,81.50%
497,Great Ryrie Primary School,VIC,Government,Major Cities,501,81.48%
498,St Justin's School,VIC,Catholic,Major Cities,347,81.48%
499,Wodonga Middle Years College,VIC,Government,Inner Regional,823,81.46%
500,Olivet Christian College,VIC,Independent,Inner Regional,75,81.46%
